Company Name,Industry,SYMBOL,SERIES,ISIN
,,ECLFINANCE,N4,INE804I07SJ0
,,ECLFINANCE,N5,INE804I08601
,,ECLFINANCE,NB,INE804I07ZL1
EDELWEISS FINANCIAL SERVICES LIMITED,Investment Banking & Investment Services,EDELWEISS,EQ,INE532F01054
Edel SE & Co KgaA,Media & Publishing,EDL,EQ,INE180G01019
EDUCOMP SOLUTIONS LIMITED,Miscellaneous Educational Service Providers,EDUCOMP,EQ,INE216H01027
EICHER MOTORS LIMITED,Automobiles & Auto Parts,EICHERMOT,EQ,INE066A01013
EIH ASSOCIATED HOTELS LIMITED,Hotels & Entertainment Services,EIHAHOTELS,EQ,INE276C01014
EIMCO ELECON (INDIA ) LIMITED,Metals & Mining,EIMCOELECO,BE,INE158B01016
EVEREST KANTO CYLINDER LIMITED,"Machinery, Equipment & Components",EKC,EQ,INE184H01027
,,ELAND,EQ,INE311H01018
ELECON ENGINEERING COMPANY LIMITED,"Machinery, Equipment & Components",ELECON,EQ,INE205B01023
ELECTROSTEEL CASTINGS LTD,Metals & Mining,ELECTCAST,EQ,INE086A01029
ELECTROTHERM (INDIA) LIMITED,Metals & Mining,ELECTHERM,EQ,INE822G01016
ELGI RUBBER COMPANY LIMITED,Automobiles & Auto Parts,ELGIRUBCO,EQ,INE819L01012
,,EMAMIINFRA,EQ,INE778K01012
E & M COMPUTING LTD.,Software & IT Services,EMCO,EQ,INE078A01026
Emkay Global Financial Services Limited,Investment Banking & Investment Services,EMKAY,EQ,INE296H01011
EMMBI INDUSTRIES LIMITED,Containers & Packaging,EMMBI,EQ,INE753K01015
ENERGY DEVELOPMENT COMPANY LIMITED,Electrical Utilities & IPPs,ENERGYDEV,EQ,INE306C01019
ENTERTAINMENT NETWORK (INDIA) LIMITED,Media & Publishing,ENIL,EQ,INE265F01028
,,ENTEGRA,BE,INE826A01028
EON ELECTRIC LIMITED,"Machinery, Equipment & Components",EON,EQ,INE076H01025
EROS INTERNATIONAL MEDIA LIMITED,Media & Publishing,EROSMEDIA,EQ,INE416L01017
ESAB INDIA LIMITED,"Machinery, Equipment & Components",ESABINDIA,EQ,INE284A01012
Essilorluxottica SA,Healthcare Equipment & Supplies,ESL,EQ,INE481K01013
ESSAR SHIPPING LIMITED.,Freight & Logistics Services,ESSARSHPNG,EQ,INE122M01019
,,ESSDEE,EQ,INE825H01017
,,ESSELPACK,EQ,INE255A01020
ESTER INDUSTRIES LIMITED,Chemicals,ESTER,EQ,INE778B01029
EURO CERAMICS LIMITED,Homebuilding & Construction Supplies,EUROCERA,EQ,INE649H01011
EUROTEX INDUSTRIES AND EXPORTS LIMITED,Textiles & Apparel,EUROTEXIND,EQ,INE022C01012
EVEREADY INDUSTRIES INDIA LTD,"Machinery, Equipment & Components",EVEREADY,EQ,INE128A01029
EVEREST INDUSTRIES LIMITED,Homebuilding & Construction Supplies,EVERESTIND,EQ,INE295A01018
,,EVERONN,EQ,INE678H01010
EXCEL INDUSTRIES LIMITED,Chemicals,EXCEL,EQ,INE688J01015
,,EXCELCROP,EQ,INE223G01017
EXCEL INDUSTRIES LIMITED,Chemicals,EXCELINDUS,EQ,INE369A01029
,,FAGBEARING,EQ,INE513A01014
,,FARMAXIND,EQ,INE890I01035
"FUELCELL ENERGY, INC.",Renewable Energy,FCEL,EQ,INE220J01025
FINEOTEX CHEMICAL LIMITED,Chemicals,FCL,EQ,INE045J01026
FCS SOFTWARE SOLUTIONS LIMITED,Software & IT Services,FCSSOFT,EQ,INE512B01022
FDC LIMITED,Pharmaceuticals,FDC,EQ,INE258B01022
,,FEDDERLOYD,EQ,INE249C01011
FIEM INDUSTRIES LIMITED,Automobiles & Auto Parts,FIEMIND,EQ,INE737H01014
FILATEX INDIA LIMITED,Textiles & Apparel,FILATEX,EQ,INE816B01019
,,FINANTECH,EQ,INE111B01023
FINOLEX INDUSTRIES LIMITED,Homebuilding & Construction Supplies,FINPIPE,EQ,INE183A01016
FLEXITUFF VENTURES INTERNATIONAL LIMITED,Containers & Packaging,FLEXITUFF,EQ,INE060J01017
FUTURE LIFESTYLE FASHIONS LIMITED,Specialty Retailers,FLFL,EQ,INE452O01016
Federal-Mogul Goetze (India) Limited,Automobiles & Auto Parts,FMGOETZE,EQ,INE529A01010
Future Market Networks Limited,Real Estate Operations,FMNL,EQ,INE360L01017
FOSECO INDIA LIMITED,Chemicals,FOSECOIND,EQ,INE519A01011
,,FOURTHDIM,SM,INE382T01014
,,FRL,EQ,INE623B01027
,,FRLDVR,EQ,IN9623B01058
GUJARAT AMBUJA EXPORTS LIMITED,Food & Tobacco,GAEL,EQ,INE036B01022
,,GAL,EQ,INE482J01013
,,GALLISPAT,EQ,INE528K01011
,,GAMMNINFRA,EQ,INE181G01025
GAMMON INDIA LIMITED,Construction & Engineering,GAMMONIND,EQ,INE259B01020
GANDHI SPECIAL TUBES LIMITED,Metals & Mining,GANDHITUBE,EQ,INE524B01027
GANESHA ECOSPHERE LIMITED,Textiles & Apparel,GANECOS,EQ,INE845D01014
,,GANESHHOUC,EQ,INE460C01014
GANGOTRI TEXTILES LIMITED,Textiles & Apparel,GANGOTRI,EQ,INE670B01028
,,GARDENSILK,EQ,INE526A01016
,,GARWALLROP,EQ,INE276A01018
,,GATI,EQ,INE152B01027
GAYATRI PROJECTS LIMITED,Construction & Engineering,GAYAPROJ,EQ,INE336H01015
GATEWAY DISTRIPARKS LIMITED,Freight & Logistics Services,GDL,EQ,INE852F01015
GEECEE VENTURES LIMITED,Real Estate Operations,GEECEE,EQ,INE916G01016
,,GEINDSYS,BE,INE599B01011
,,GEMINI,EQ,INE878C01033
GENESYS INTERNATIONAL CORPORATION LIMITED,Software & IT Services,GENESYS,EQ,INE727B01026
GENUS PAPER & BOARDS LIMITED,Paper & Forest Products,GENUSPAPER,EQ,INE949P01018
GENUS POWER INFRASTRUCTURES LIMITED,"Machinery, Equipment & Components",GENUSPOWER,EQ,INE955D01029
